status,problem,source
328,328A - IQ Test,"a , b , c , d = map ( int , input (). split ()) r = 42 if  b - a == c - b == d - c : r = d + b - a if  b / a == c / b == d / c == int ( d * c / b )/ d : r = int ( d * c / b ) print ( r )"
329,329A - Purification,"n  =  int ( input ()) t  =   [ input ()   for  i  in  range ( n )] e  =   'E'   *  n if  e  in  t :     t  =  list ( '' . join ( i )   for  i  in  zip (* t ))      if  e  in  t :   print ( '-1' )      else :         p  =   [ str ( c . find ( '.' )   +   1 )   +   ' '   +  str ( i )   for  i ,  c  in  enumerate ( t ,   1 )]          print ( '\n' . join ( p )) else :     p  =   [ str ( i )   +   ' '   +  str ( c . find ( '.' )   +   1 )   for  i ,  c  in  enumerate ( t ,   1 )]      print ( '\n' . join ( p ))"
330,330A - Cakeminator,"r , c = map ( int , input (). split ()); a =[ input ()   for  _  in [ 0 ]* r ] s = lambda  x : sum ( i . count ( 'S' )> 0   for  i  in  x ) print ( r * c - s ( a )* s ( zip (* a )))"
332,332A - Down the Hatch!,"I = input n = int ( I ()) s = I () print ( sum ( 2 > len ( set ( s [ i - 3 : i ])) for  i  in  range ( n , len ( s ), n )))"
333,334C - Secrets,"I = input n = int ( I ()) s = I () print ( sum ( 2 > len ( set ( s [ i - 3 : i ])) for  i  in  range ( n , len ( s ), n )))"
334,334A - Candy Bags,"w = int ( input ()) for  i  in  range ( w * w // 2 ):   print ( i + 1 , w * w - i )"
335,335A - Banana,"s  =  input () n  =  int ( input ())   symb_cnt  =   {} for  c  in  s : 	symb_cnt [ c ]   =  symb_cnt [ c ]   +   1   if  c  in  symb_cnt  else   1 for  cnt  in  range ( 1 ,  len ( s )   +   1 ): 	s1  =   """" 	 for  c  in  symb_cnt : 		s1  +=  c  *   (( symb_cnt [ c ]   +  cnt  -   1 )   //  cnt ) 	 if  len ( s1 )   <=  n : 		 for  i  in  range ( n  -  len ( s1 )): 			s1  +=   'a' 		 print ( cnt ) 		 print ( s1 ) 		exit ( 0 ) print (- 1 )"
336,336A - Vasily the Bear and Triangle,"x , y = map ( int , input (). split ()) a = abs ( x )+ abs ( y ) v =[- a , a ][ y > 0 ] print (*((- a , 0 , 0 , v ) if  x < 0   else ( 0 , v , a , 0 )))"
337,337A - Puzzles,"I = lambda : map ( int , input (). split ()); n , m = I (); a = sorted ( I ()); print ( min ( j - i  for  i , j  in  zip ( a , a [ n - 1 :])))"
338,337C - Quiz,"I = lambda : map ( int , input (). split ()); n , m = I (); a = sorted ( I ()); print ( min ( j - i  for  i , j  in  zip ( a , a [ n - 1 :])))"
339,339A - Helpful Maths,"print ( ""+"" . join ( sorted ( input ()[:: 2 ])))"
340,340A - The Wall,"x , y , a , b = map ( int , input (). split ())   A = 1 while  A % x  or  A % y :     A += 1 print ( b // A -( a - 1 )// A )"
341,340C - Tourist Problem,"x , y , a , b = map ( int , input (). split ())   A = 1 while  A % x  or  A % y :     A += 1 print ( b // A -( a - 1 )// A )"
342,342A - Xenia and Divisors,"n = int ( input ()) l = sorted ( map ( int , input (). split ())) for  i  in  range ( n // 3 ):      if   not  l [ i ]< l [ i + n // 3 ]< l [ i + 2 *( n // 3 )]   or  l [ i + n // 3 ]% l [ i ]!= 0   or  l [ i + 2 *( n // 3 )]% l [ i +( n // 3 )]:          print (- 1 )         exit ( 0 )   for  i  in  range ( n // 3 ):      print (* l [ i :: n // 3 ])"
343,343A - Rational Resistance,"n , m = map ( int , input (). split ()) a = 0 while  m : a += n // m ; n , m = m , n % m print ( a )"
344,344A - Magnets,n = input c = p = 0 for  i  in ' ' * int ( n ()): s = n (); c += s != p ; p = s print ( c )
346,346A - Alice and Bob,"from  fractions  import  gcd n ,  f ,  m  =  int ( input ()),   0 ,   0 for  x  in  map ( int ,  input (). split ()):     f ,  m  =  gcd ( f ,  x ),  max ( m ,  x ) print ( 'Alice'   if   ( m  //  f  -  n )   %   2   else   'Bob' )"
347,347A - Difference Row,"input () a = sorted ( input (). split (), key = int ) print ( a [- 1 ],* a [ 1 :- 1 ], a [ 0 ])"
348,348A - Mafia,"n = int ( input ()) a = list ( map ( int , input (). split ())) print ( max ( max ( a ),( sum ( a )- 1 )//( n - 1 )+ 1 ))"
349,349A - Cinema Line,"input () a = b = c = 0 for  i  in  map ( int , input (). split ()): 	 if  i == 25 : a += 1 	 elif  i == 50 : a , b = a - 1 , b + 1 	 elif  b : a , b = a - 1 , b - 1 	 else : a -= 3 	 if  a < 0   or  b < 0 : c = 1 print ( 'YNEOS' [ c :: 2 ])"
350,350A - TL,"a = lambda : list ( map ( int , input (). split ())) n , m = a () b , c = a (), a () TL = max ( 2 * min ( b ), max ( b )) print ( TL  if  TL < min ( c )   else   ""-1"" )"
352,352A - Jeff and Digits,"a , b = int ( input ()), input (); c = b . count ( '5' ); d = a - c ; print ( int ( '5' *( 9 *( c // 9 ))+ '0' * d )   if  d  else   '-1' )"
353,353A - Domino,"n  =  int ( input ()) x , y , z  =   [ 0 ]* 3 for  i  in  range ( n ):     a , b  =  input (). split ()     x  +=  int ( a )     y  +=  int ( b )     z  +=   ( int ( a )+ int ( b ))% 2 print   ((- 1 ,( 0 ,(- 1 , 1 )[ z > 0 ])[ y % 2 ])[ x % 2 == y % 2 ])"
354,354A - Vasya and Robot,"n ,  l  ,  r ,  ql  ,  qr  =  map ( int , input (). split ()) w  =   [ 0 ]   +  list ( map ( int , input (). split ())) for  i  in  range  ( 1 , n + 1 ):     w [ i ]   +=  w [ i - 1 ] s  =  w [ n ] print ( min ( l * w [ i ]   +  r *( s - w [ i ])   +  ql * max ( 0 , 2 * i - n - 1 )   +  qr * max ( 0 , n - 2 * i - 1 )   for  i  in  range ( n + 1 )))"
355,355A - Vasya and Digital Root,"k , d = input (). split () k = int ( k )- 1 print ( 'No solution' if ( d == '0' )* k  else  d + '0' * k )"
356,356A - Knight Tournament,"from  sys  import  stdin input = lambda   :  stdin . readline (). strip () from  math  import  ceil , sqrt , factorial , gcd n , m = map ( int , input (). split ()) ans =[ 0   for  i  in  range ( n )] nextl =[ i + 1   for  i  in  range ( n + 2 )] for  j  in  range ( m ): 	l , r , x = map ( int , input (). split ()) 	i = l 	 while  i <= r : 		 if  ans [ i - 1 ]== 0   and  i != x : 			ans [ i - 1 ]= x 		a = nextl [ i ] 		 if  i < x : 			nextl [ i ]= x 		 else : 			nextl [ i ]= r + 1 		i = a print (* ans )"
357,357A - Group of Students,"I = input R = lambda : list ( map ( int , I (). split ())) m = int ( I ()) c = R () x , y = R () r = 0 for  i  in  range ( m ): 	 if  x <= sum ( c [: i ])<= y  and  x <= sum ( c [ i :])<= y : r = i + 1 print ( r )"
358,358A - Dima and Continuous Line,"n = int ( input ()) a = list ( map ( int , input (). split ())) p =[] for  i  in  range ( n - 1 ): 	p . append ([ min ( a [ i ], a [ i + 1 ]), max ( a [ i ], a [ i + 1 ])]) for  i  in  p : 	 for  j  in  p : 		 if  i [ 0 ]< j [ 0 ]< i [ 1 ]< j [ 1 ]   or  j [ 0 ]< i [ 0 ]< j [ 1 ]< i [ 1 ]: 			 print ( ""yes"" ) 			exit () print ( ""no"" )"
359,359A - Table,"n , m = map ( int , input (). split ()) a =[ input (). split () for  _  in [ 0 ]* n ] b =[* zip (* a )] print ([ 4 , 2 ][ '1' in '' . join ([* a [ 0 ],* a [ n - 1 ],* b [ 0 ],* b [ m - 1 ]])])"
361,361A - Levko and Table,"a , b = map ( int , input (). split ()) for  i  in  range ( a ): c =[ 0 ]* a ; c [ i ]= b ; print (* c )"
362,362A - Two Semiknights Meet,"def  f ():     t  =   []      for  i  in  range ( 8 ):         p  =  input ()          for  j  in  range ( 8 ):              if  p [ j ]   ==   'K' :  t  +=   [ i ,  j ]      if  t [ 2 ]   -  t [ 0 ]   in   ( 0 ,   4 )   and  t [ 1 ]   -  t [ 3 ]   in   (- 4 ,   0 ,   4 ):   return   'YES'      return   'NO' for  i  in  range ( int ( input ())   -   1 ):      print ( f ())     input () print ( f ())"
363,363A - Soroban,"n = int ( input ()) while   1 :   x = n % 10    print ([ 'O-' , '-O' ][ x > 4 ]+ '|' + x % 5 * 'O' + '-' +( 4 - x % 5 )* 'O' )   n //= 10    if  n < 1 : break"
365,365A - Good Number,"n ,  k  =  map ( int ,  input (). split ()) s  =  set ( '0123456789' [: k + 1 ])   print ( sum ( set ( input ())>= s  for  _  in  range ( n )))"
366,366A - Dima and Guards,"n  =  int ( input ()) for  i  in  range ( 4 ): 	a ,  b ,   * l  =   [ int ( x )   for  x  in  input (). split ()] 	 for  c  in   [ a ,  b ]: 		 for  d  in  l : 			 if  c  +  d  <=  n : 				 print ( i  +   1 ,  c ,  n  -  c ) 				exit () print (- 1 )"
367,367A - Sereja and Algorithm,"def  main ():     l ,  xyz ,  res  =   [( 0 ,   0 ,   0 )],   [ 0 ,   0 ,   0 ],   []      for  c  in  input ():         xyz [ ord ( c )   -   120 ]   +=   1         l . append ( tuple ( xyz ))      for  _  in  range ( int ( input ())):         a ,  b  =  map ( int ,  input (). split ())          if  b  -  a  >   1 :             xyz  =   [ i  -  j  for  i ,  j  in  zip ( l [ b ],  l [ a  -   1 ])]             res . append (( ""NO"" ,   ""YES"" )[ max ( xyz )   -  min ( xyz )   <   2 ])          else :             res . append ( ""YES"" )      print ( '\n' . join ( res ))     if  __name__  ==   '__main__' :     main ()"
368,368A - Sereja and Coat Rack,"I = lambda : map ( int , input (). split ()) n , d = I () a = sorted ( I ())+[- d ]* 99 print ( sum ( a [: next ( I ())]))"
369,369A - Valera and Plates,"I = input n , m , k = map ( int , I (). split ()) t = I (). count ( '2' ) print (- min ( 0 , m + min ( 0 , k - t )- n + t ))"
370,"370A - Rook, Bishop and King","a , b , c , d = map ( int , input (). split ()) e = abs ( a - c ) f = abs ( b - d ) t = 0 if   ( e - f )% 2 == 0 : t = 2 if  e == f : t = 1 print (( a != c )+( b != d ), t , max ( e , f ))"
371,371A - K-Periodic Array,"I = lambda : map ( int , input (). split ()) n , k = I () a =[ 0 ]* n i = 0 for  v  in  I (): a [ i ]+= v - 1 ; i =( i + 1 )% k print ( sum ( map ( lambda  x : min ( x , n // k - x ), a )))"
372,372A - Counting Kangaroos is Fun,"n  =  int ( input ()) l  =  sorted ([ int ( input ())   for  i  in  range ( n )]) t = n - 1 cnt = 0 for  i  in  range (( n // 2 )-   1 ,- 1 ,- 1 ):      if  l [ i ]* 2 <= l [ t ]:         cnt = cnt + 1         t = t - 1 print ( cnt +( n - 2 * cnt ))  "
373,373A - Collecting Beats is Fun,I = input k = int ( I ())* 2 s = '' for  _  in '0' * 4 : s += I () print ( 'YNEOS' [ any ( s . count ( str ( i ))> k  for  i  in  range ( 10 )):: 2 ])
374,374A - Inna and Pink Pony,"n ,  m ,  i ,  j ,  a ,  b  =  map ( int ,  input (). split ()) x ,  y ,  t  =   [ i  -   1 ,  n  -  i ],   [ j  -   1 ,  m  -  j ],   [] if  all ( i  <  a  for  i  in  x )   or  all ( j  <  b  for  j  in  y ):      if   0   in  x  and   0   in  y :  t  =   [ 0 ] else :     u  =   [ d  //  a  for  d  in  x  if  d  %  a  ==   0 ]     v  =   [ d  //  b  for  d  in  y  if  d  %  b  ==   0 ]     t  =   [ max ( i ,  j )   for  i  in  u  for  j  in  v  if   ( i  +  j )   %   2   ==   0 ] print ( min ( t )   if  t  else   'Poor Inna and pony!' )"
375,376C - Divisible by Seven,"n ,  m ,  i ,  j ,  a ,  b  =  map ( int ,  input (). split ()) x ,  y ,  t  =   [ i  -   1 ,  n  -  i ],   [ j  -   1 ,  m  -  j ],   [] if  all ( i  <  a  for  i  in  x )   or  all ( j  <  b  for  j  in  y ):      if   0   in  x  and   0   in  y :  t  =   [ 0 ] else :     u  =   [ d  //  a  for  d  in  x  if  d  %  a  ==   0 ]     v  =   [ d  //  b  for  d  in  y  if  d  %  b  ==   0 ]     t  =   [ max ( i ,  j )   for  i  in  u  for  j  in  v  if   ( i  +  j )   %   2   ==   0 ] print ( min ( t )   if  t  else   'Poor Inna and pony!' )"
376,376A - Lever,"a = input () p = a . index ( '^' ) c = sum (( i - p )* int ( y )   for  i , y  in  enumerate ( a )   if  y . isdigit ()) print ([[ 'balance' , 'right' ][ c > 0 ], 'left' ][ c < 0 ])"
378,378A - Playing with Dice,"n , m = map ( int , input (). split ()) a = b = c = 0 for  i  in  range ( 1 , 7 ): t = abs ( n - i )- abs ( m - i ); a += t < 0 ; b += t == 0 ; c += t > 0 print ( a , b , c )"
379,379A - New Year Candles,"c , b = map ( int , input (). split ()); print (( c * b - 1 )//( b - 1 ))"
380,380A - Sereja and Prefixes,"from  bisect  import  bisect_left m  =  int ( input ()) t ,  s  =   [ input (). split ()   for  i  in  range ( m )],   [ 0 ]   *  m l ,  n  =   0 ,  int ( input ()) for  j ,  i  in  enumerate ( t ):     l  +=   1   if  i [ 0 ]   ==   '1'   else  int ( i [ 1 ])   *  int ( i [ 2 ])     t [ j ],  s [ j ]   =  l ,  i [ 1 ]   if  i [ 0 ]   ==   '1'   else  int ( i [ 1 ]) F  =   {} def  f ( i ):      if   not  i  in  F :         k  =  bisect_left ( t ,  i )         F [ i ]   =  s [ k ]   if  type ( s [ k ])   ==  str  else  f (( i  -  t [ k ]   -   1 )   %  s [ k ]   +   1 )      return  F [ i ] print ( ' ' . join ( f ( i )   for  i  in  map ( int ,  input (). split ())))"
381,381A - Sereja and Dima,"i , x = input ,[ 0 , 0 ] n , a = int ( i ()),[* map ( int , i (). split ())] for  i  in  range ( n ):  b = max ( a [ 0 ], a [- 1 ]); x [ i % 2 ]+= b ; a . remove ( b ) print (* x )"
382,382A - Ksenia and Pan Scales,"a , b = input (). split ( '|' ) z = a + input ()+ b m = len ( z )// 2 print ([ z [: m ]+ '|' + z [ m :], 'Impossible' ][ max ( map ( len ,[ a , b , z [ m :]]))> m ])"
383,383A - Milking cows,input () s  =  k  =   0 for  i  in  input ()[::   2 ]:      if  i  ==   '1' :  k  +=   1      else :  s  +=  k print ( s )
384,384A - Coder,n = int ( input ()) print (-(- n * n // 2 )) for  i  in  range ( n ):   print (( n * 'C.' )[ i : n + i ])
385,385A - Bear and Raspberry,"I = lambda : map ( int , input (). split ()) n , c = I () a =[* I ()] print ( max ( 0 ,*[ x - y - c  for  x , y  in  zip ( a , a [ 1 :])]))"
386,386A - Second-Price Auction,"input (); X  =  list ( map ( int ,  input (). split ())); print ( X . index ( max ( X ))   +   1 ,  sorted ( X )[- 2 ])"
387,387A - George and Sleep,"I  =   lambda :  map ( int ,  input (). split ( ':' ))   h ,  m  =  I () dh ,  dm  =  I () h ,  m  =  h - dh ,  m - dm h ,  m  =   ( h + m // 60 )% 24 ,  m % 60   print ( f '{h:02}:{m:02}' )"
388,388A - Fox and Box Accumulation,"input (); print ( 1 + max ( x //-~ f  for  x , f  in  enumerate ( sorted ( map ( int , input (). split ())))))"
389,389A - Fox and Number Game,"import  fractions n = int ( input ()) a = 0 for  x  in  input (). split (): 	a = fractions . gcd ( a , int ( x )) print ( a * n )"
390,390A - Inna and Alarm Clock,"I = input a = set () b = set () for  _  in   '0' * int ( I ()): x , y = I (). split (); a . add ( x ); b . add ( y ) print ( min ( len ( a ), len ( b )))"
391,391A - Genetic Engineering,k = 1 p = r = 0 for  x  in  input ()+ '0' : 	 if  x != p : r += 1 - k % 2 ; k = 0 ; p = x 	k += 1 print ( r )
392,392A - Blocked Points,"print ( max ( 1 ,   4 * int ( int ( input ())* 2 ** 0.5 )))"
393,393A - Nineteen,"a = input (). count print ( min ( max ( 0 ,( a ( 'n' )- 1 )// 2 ), a ( 't' ), a ( 'i' ), a ( 'e' )// 3 ))"
394,394A - Counting Sticks,t  =  input () k  =  t . find ( '=' ) n  =   2   *  k  -  len ( t ) if  n  ==   2 :      if  t [ 1 ]   !=   '+' :  t  =  t [ 1 :   ]   +   '|'      else :  t  =  t [:  k  -   1 ]   +  t [ k :   ]   +   '|' elif  n  ==   - 2 :  t  =   '|'   +  t [:   - 1 ] elif  n  !=   0 :  t  =   'Impossible' print ( t )
396,396A - On Number of Decompositions into Multipliers,"from  math  import  factorial  as  f def  primes ( n ):     sieve  =   [ True ]   *  n      for  i  in  range ( 3 , int ( n ** 0.5 )+ 1 , 2 ):          if  sieve [ i ]:             sieve [ i * i :: 2 * i ]=[ False ]*(( n - i * i - 1 )//( 2 * i )+ 1 )      return   [ 2 ]   +   [ i  for  i  in  range ( 3 , n , 2 )   if  sieve [ i ]] p  =  primes ( 31627 ) s  =   [ 0 ]*( 31623 ) s1 ={} def  factorize ( n ):    for  i  in  p :      if  n <= 1 :        return   56      while  n % i == 0 :       s [ p . index ( i )]+= 1       n //= i    if  n > 1 :      if  n  in  s1 :       s1 [ n ]+= 1      else :       s1 [ n ]= 1 n  =  int ( input ()) for  i  in  map ( int , input (). split ()):   factorize ( i ) s  =  list ( filter ( lambda  a :  a  !=   0 ,  s )) for  i  in  s1 . values ():   s . append ( i ) ans  =   1 for  i  in  s :   ans *= f ( i + n - 1 )//( f ( n - 1 )* f ( i )) print ( int ( ans )% 1000000007 )"
397,397A - On Segment's Own Points,"n = int ( input ()) l =[ 0 ]* 100 for  k  in  range ( n ):     a , b = map ( int , input (). split ())      for  i  in  range ( a , b ):         l [ i ]= int ( k == 0 ) print ( sum ( l ))"
398,398A - Cards,"a ,  b  =  map ( int ,  input (). split ()) if  b  <   2 :      print ( a  *  a  -  b )      print ( 'o'   *  a  +   'x'   *  b ) elif  a  ==   0 :      print (-  b  *  b )      print ( 'x'   *  b ) else :     s  =  a  *  a  -  b  *  b      for  i  in  range ( 2 ,  min ( a  +   1 ,  b )   +   1 ):         u ,  v  =  b  //  i ,  b  %  i         d  =  i  -   2   +   ( a  -  i  +   2 )   **   2   -   ( u  **   2 )   *   ( i  -  v )   -   (( u  +   1 )   **   2 )   *  v          if  d  >  s :  s ,  q ,  p ,  j  =  d ,  u ,  v ,  i     k  =   2   *  j  -   1     t  =   [ 0 ]   *  k     t [ 1 :  k :   2 ]   =   [ 'o' ]   *   ( j  -   2 )   +   [ 'o'   *   ( a  -  j  +   2 )]     t [ 0 :  k :   2 ]   =   [ 'x'   *  q ]   *   ( j  -  p )   +   [ 'x'   *   ( q  +   1 )]   *  p      print ( s )      print ( '' . join ( t ))"
399,399A - Pages,"n , p , k = map ( int , input (). split ()) if  p - k > 1 : print ( ""<<"" , end = "" "" ) for  _  in  range ( max ( 1 , p - k ), min ( n , p + k )+ 1 ): print ( _  if  _ != p  else ""("" + str ( _ )+ "")"" , end = "" "" ) if  p + k < n : print ( "">>"" )"
400,400A - Inna and Choose Options,"for  _  in  range ( int ( input ())):     s  =  input ()     A  =   [ str ( a )+ 'x' + str ( 12 // a )   for  a  in   ( 1 , 2 , 3 , 4 , 6 , 12 )           if  any ( s [ i :: 12 // a ]== 'X' * a  for  i  in  range ( 12 // a ))]      print ( len ( A ),   * A )"
401,401A - Vanya and Cards,"i = lambda : map ( int , input (). split ()); n , x = i (); a = abs ( sum ( i ())); print ( 0 -- a // x )"
402,402A - Nuts,"k , a , b , v = map ( int , input (). split ()); o = 0 while ( a > 0 ):     o += 1 ; a -= v * min ( b + 1 , k ); b -= min ( b , k - 1 ) print ( o )"
403,402C - Searching for Graph,"k , a , b , v = map ( int , input (). split ()); o = 0 while ( a > 0 ):     o += 1 ; a -= v * min ( b + 1 , k ); b -= min ( b , k - 1 ) print ( o )"
404,404A - Valera and X,"n  =  int ( input ()) s  =   '' for  i  in  range ( n ): 	s  +=  input () if  s  ==   '' . join ( list ( reversed ( s )))   and  s . count ( s [ 0 ])   ==   ( n * 2 )   -   1 : 	 print ( ""YES"" ) else : 	 print ( ""NO"" )          "
405,405A - Gravity Flip,"input (); print (* sorted ( map ( int , input (). split ())))"
407,407A - Triangle,"a , b = map ( int , input (). split ()) def  get ( a ):      return  list ([ i , j ]   for  i  in  range ( 1 , a )   for  j  in  range ( 1 , a )   if  i * i + j * j == a * a ) A = get ( a ) B = get ( b ) for   [ a , b ]   in  A :      for   [ c , d ]   in  B :          if  a * c == b * d  and  b != d :              print ( ""YES\n0 0\n%d %d\n%d %d""   %(- a , b , c , d ))             exit ( 0 ) print ( ""NO"" )"
408,408A - Line to Cashier,"i = lambda :[* map ( int , input (). split ())] n = i ()[ 0 ] k = i () print ( min ( k [ l ]* 15 + sum ( i ())* 5   for  l  in  range ( n )))"
409,409A - The Great Game,"t = 0 a , b , c = input (), input (), '8([' for  i  in  range ( 0 , len ( a ), 2 ): 	k = c . index ( a [ i ]) 	t += 1   if  b [ i ]== c [ k - 1 ] else   0   if  b [ i ]== c [ k ] else   - 1 print ( ""TEAM %d WINS"" %( 1   if  t > 0   else   2 ) if  t  else   ""TIE"" )"
411,411A - Password Check,"import  re print ( ""Correct"" if  re . match ( r ""(?=.{5,})(?=.*\d)(?=.*[a-z]).*[A-Z].*"" , input ()) else ""Too weak"" )"
412,412A - Poster,"n ,  k  =  map ( int ,  input (). split ()) a ,  b ,  c ,  t  =   'LEFT\n' ,   'RIGHT\n' ,   'PRINT ' ,  input () if   2   *  k  >  n :  k ,  a ,  b ,  t  =  n  -  k  +   1 ,  b ,  a ,  t [::   - 1 ] print ( a  *   ( k  -   1 )   +  c  +   ( '\n'   +  b  +  c ). join ( t ))"
413,413A - Data Recovery,"I = lambda : list ( map ( int , input (). split ())) n , m , N , X = I () t = I () r = min ( t )!= N r += max ( t )!= X print ([ 'C' , 'Inc' ][ m + r > n  or  min ( t )< N  or  max ( t )> X ]+ 'orrect' )"
414,414A - Mashmokh and Numbers,"n ,  k  =  map ( int ,  input (). split ()) if  k  ==   0   and  n  ==   1 :      print ( 1 ) elif  n  //   2   >  k  or  n  ==   1 :      print (- 1 ) else :     x  =   ( k  -  n  //   2   +   1 )      print ( x ,  x  *   2 ,   * range ( x  *   2   +   1 ,  x  *   2   +   1   +  n  -   2 ))"
